Brute Divide and Conquer
Input Amount,Coins,RunTime
120,2,618.620187765373
121,3,588.7621997544557
122,3,495.4559874477127
123,4,902.7376042922697
124,4,499.6547670543805
125,5,507.1192640002664
126,3,513.1841678007731
127,4,617.220594506307
128,4,635.8818370131303
129,5,533.7115345582788
130,5,560.3038050026043
131,6,523.914382199564
132,3,570.5674884097789
133,4,543.9752178517665
134,4,544.9082800055294
135,5,559.8372739541446
136,5,829.0256965324261
137,6,992.311568097648
138,4,577.5654543072051
139,5,613.0218149564826
140,5,564.9691156577319
141,6,573.8332058058404
142,6,590.1617929566783
143,7,583.1638270592521
144,3,591.5613861589009
145,4,697.4639371719604
146,4,954.522552092385
147,5,608.8230354066582
148,5,679.2692257704402
149,6,613.4883460617857
150,4,644.2793961127791
151,5,648.4781757194469
152,5,635.8818370131303
153,6,681.1353500211226
154,6,729.6545804251764
155,7,664.8067628134413
156,3,641.946740813637
157,4,676.4700394228385
158,4,652.6769552124279
159,5,655.4761416168731
160,5,688.1333159185488
161,6,667.1394181125834
162,4,775.8411554732447
163,5,791.2366805271631
164,5,798.2346464814327
165,6,685.3341295141036
166,6,687.2002537647859
167,7,729.1880493198732
168,3,729.6545804251764
169,4,696.5308750181975
170,4,724.0562076731294
171,5,838.3563177289943
172,5,712.8594621690354
173,6,709.1272136676707
174,4,716.1251796219403
175,5,744.5835743737916
176,5,726.8553940207312
177,6,764.1778789775344
178,6,757.1799130801082
179,7,960.5874558928917
180,3,786.5713698720356
181,4,751.1150092796015
182,4,789.8370873249405
183,5,759.0460373307906
184,5,789.8370873249405
185,6,792.6362737293857
186,4,770.2427827211977
187,5,848.1534700308657
188,5,786.571369928879
189,6,865.4151193354664
190,6,820.1616063843176
191,7,799.6342396268119
192,4,792.1697426240826
193,5,1176.1248064203755
194,5,827.1595722817437
195,6,814.0967025269674
196,6,907.4029148905538
197,7,850.019594281548
198,5,851.4191874837707
199,6,857.4840912842774
200,6,889.6747345374934
201,7,878.9445201387025
